model,replicate,seed,fraction,n_train,r2_coef_determination,pearson_r,pearson_r2,rmse,mae
rf,0,42,0.01,276,0.26140857724423705,0.5167956445816613,0.2670777382585748,7.954315898898969,2.396951635851979
rf,0,42,0.02,551,0.35144332190321437,0.6272570836668787,0.3934514490102777,7.453747427441599,1.7019404577970052
rf,0,42,0.03,827,0.4593899066051904,0.7094870608573441,0.5033718895239927,6.8052295573686585,1.4773625761158695
rf,0,42,0.04,1103,0.511840477840931,0.7487434663808772,0.5606167784480518,6.4666832253746875,1.343623464064207
rf,0,42,0.05,1378,0.551755286882184,0.7710696780300719,0.5945484483773987,6.1966689152197665,1.2556670829704917
rf,0,42,0.06,1654,0.54302655283833,0.7699728215728786,0.5928581459608999,6.256712330469932,1.2699616511579375
rf,0,42,0.07,1930,0.5607515262897099,0.782242728637845,0.6119036865067813,6.134170389100679,1.2217464138585483
rf,0,42,0.08,2205,0.5705212999007242,0.7860172705523876,0.6178231496066252,6.065568611376034,1.1831072857719926
rf,0,42,0.09,2481,0.5743074656493941,0.7828284101946584,0.6128203198078964,6.038773235637928,1.2556212127075561
rf,0,42,0.1,2756,0.5931980458764166,0.790725743577643,0.6252472015564164,5.903264192409623,1.1935648066708362
rf,0,42,0.11,3032,0.5987317679623352,0.7924930558592772,0.6280452435851754,5.8629756964115085,1.161521275262336
rf,0,42,0.12,3308,0.616398870319358,0.8058446066174492,0.6493855300144314,5.7324548578538765,1.147328857464072
rf,0,42,0.13,3583,0.6203936898204174,0.8031236974461641,0.6450076733995977,5.7025278665255605,1.1412842290833514
rf,0,42,0.14,3859,0.631844420051041,0.8084744896100658,0.6536310003502565,5.615861626044506,1.1100363745197597
rf,0,42,0.15,4135,0.6423889708871857,0.8118899617690605,0.6591653100213665,5.5348538405124685,1.0983873105962345
rf,0,42,0.16,4410,0.6453993419020704,0.8161684007731431,0.6661308584205899,5.5115083957381525,1.0819031507294818
rf,0,42,0.17,4686,0.6509524634373183,0.8194166432052872,0.6714436351618209,5.4681824074808025,1.07444815284647
rf,0,42,0.18,4962,0.6392847401013027,0.8100501597469164,0.6561812613060048,5.558824492233178,1.0854443639370985
rf,0,42,0.19,5237,0.6576223481741559,0.8209907564975641,0.6740258222544426,5.4156851653086315,1.0668100413842605
rf,0,42,0.2,5513,0.6641483297217425,0.824448547826973,0.6797154080140045,5.363823280801007,1.0645223864811797
rf,0,42,0.21,5789,0.6540566447303262,0.8178385354772807,0.6688598701116233,5.443813036985588,1.0684165023703447
rf,0,42,0.22,6064,0.6502870176032621,0.80872741493859,0.6540400316732543,5.473392366261008,1.1172646596701568
rf,0,42,0.23,6340,0.6810647847913309,0.8270733101050537,0.6840502602881303,5.226993282047631,1.0573852830072472
rf,0,42,0.24,6616,0.6749888738769246,0.8238414110019613,0.6787146704817025,5.276547097325014,1.0770844266839434
rf,0,42,0.25,6891,0.6730440639891289,0.822355081118038,0.6762678794406549,5.292310519831281,1.0658985164071815
rf,0,42,0.26,7167,0.6863057779866517,0.8309551880965386,0.6904865246245538,5.183868359271828,1.0455563442902813
rf,0,42,0.27,7443,0.6840538966644967,0.8285611509854166,0.6865135809222783,5.2024415121147545,1.0779839767995971
rf,0,42,0.28,7718,0.6808985562942573,0.8257073163843845,0.6817925723307021,5.228355254654414,1.0815157872382264
rf,0,42,0.29,7994,0.7051699909516325,0.8409515486412453,0.7071995071621088,5.025584129356299,1.0300719188680245
rf,0,42,0.3,8270,0.6976182205577772,0.8359560102149702,0.6988224510145314,5.089539788445092,1.0313103946049313
rf,0,42,0.31,8545,0.6969627108193791,0.8353909894667367,0.6978781052822134,5.095053408947939,1.0239477351263806
rf,0,42,0.32,8821,0.7136359102357837,0.8459701360650312,0.7156654711138875,4.952904826668153,0.9951377921056489
rf,0,42,0.33,9096,0.7190051616673645,0.8488787901498995,0.7205952003663572,4.9062522791596574,0.9968383918303056
rf,0,42,0.34,9372,0.7180429079366347,0.8489306273112489,0.7206832099870706,4.914645715727797,0.9863139661311162
rf,0,42,0.35,9648,0.7329310399456757,0.857538001422484,0.7353714238836683,4.783132507561647,0.9576263268481431
rf,0,42,0.36,9923,0.7243955950682996,0.8527273503118111,0.7271439339698023,4.858965125052734,0.962456904590599
rf,0,42,0.37,10199,0.7167365293092263,0.8472400442358264,0.7178156925567252,4.926017957572955,0.9921068856676519
rf,0,42,0.38,10475,0.7179720549331314,0.8477769459405782,0.7187257500683341,4.915263177651567,0.9905806009905874
rf,0,42,0.39,10750,0.7282678541036132,0.8544665259691835,0.7301130440018453,4.82470999660668,0.9601118356874541
rf,0,42,0.4,11026,0.731750894212727,0.8563944140815285,0.7334113924700445,4.793688903260527,0.9675477526972649
rf,0,42,0.41,11302,0.7369023753578319,0.8602779660629513,0.7400781788934083,4.747436541042627,0.9527866000266089
rf,0,42,0.42,11577,0.7315791987412454,0.8563984299432846,0.733418270809323,4.795222781658822,0.9509653378491433
rf,0,42,0.43,11853,0.7364483694606487,0.8596563814012912,0.7390090940839622,4.751530905552504,0.9472554167141763
rf,0,42,0.44,12129,0.7377893474066959,0.8603653259411225,0.7402284940817739,4.739427349616883,0.9297149540586318
rf,0,42,0.45,12404,0.7313599308690706,0.8556570726572306,0.7321490259883412,4.79718094520959,0.9617016057385719
rf,0,42,0.46,12680,0.7281276213465554,0.8538186806095273,0.7290063393577939,4.825954779615657,0.9579989825703396
rf,0,42,0.47,12956,0.7350852742278673,0.8584918903410476,0.7370083257813452,4.763802573485229,0.9511631293534147
rf,0,42,0.48,13231,0.7308372382619155,0.8559100666983568,0.7325820422755855,4.801845611434736,0.9395706849945403
rf,0,42,0.49,13507,0.7340231759758646,0.8574646118728511,0.735245560614259,4.773342558924379,0.9392088994978613
rf,0,42,0.5,13782,0.7452270165378565,0.8636574018744332,0.7459041078124962,4.671726300287995,0.9363053298224265
rf,0,42,0.51,14058,0.7545937051166517,0.8690856916948141,0.7553099395086534,4.585044488451247,0.9083750285057272
rf,0,42,0.52,14334,0.7573527167571846,0.8711768174077211,0.7589490471886459,4.559197662164622,0.9101713752307866
rf,0,42,0.53,14609,0.7679006371991841,0.8771184027586914,0.7693366924579579,4.459002119274452,0.8827157558226146
rf,0,42,0.54,14885,0.7680071122221562,0.8779382823087665,0.7707756275432673,4.45797922371366,0.8929126558138171
rf,0,42,0.55,15161,0.7633824007185251,0.8747462442666464,0.7651809918586033,4.502194224661719,0.8980628889571157
rf,0,42,0.56,15436,0.7709601657800965,0.8793877558401606,0.7733228251215939,4.429515390733515,0.8675722514488678
rf,0,42,0.57,15712,0.7685520832705847,0.8780996487264892,0.7710589930935836,4.452740058688591,0.8770045487413353
rf,0,42,0.58,15988,0.776599704867508,0.8831215585966052,0.7799036872580972,4.374642581581861,0.8703873317018207
rf,0,42,0.59,16263,0.7685702826592253,0.8775329560769951,0.7700640890012295,4.452564989625332,0.8669531342329683
rf,0,42,0.6,16539,0.774630603071534,0.8813263287684794,0.7767360977805258,4.3938798391968685,0.8670967492790768
rf,0,42,0.61,16815,0.7817004132736268,0.8857462897881393,0.7845464898734544,4.32441297208413,0.8481614991726536
rf,0,42,0.62,17090,0.7764754662115887,0.8819591081713426,0.77785186848639,4.375858838193336,0.8573777973220221
rf,0,42,0.63,17366,0.7841118480684653,0.886893088453871,0.7865793503472459,4.300461945818261,0.8389392060412342
rf,0,42,0.64,17642,0.7785313798893773,0.8832417256649626,0.7801159459556211,4.355688411909616,0.8428932003891763
rf,0,42,0.65,17917,0.7858840805747822,0.8883778524313293,0.7892152086905007,4.2827742588619016,0.8259049965325825
rf,0,42,0.66,18193,0.7829541096766542,0.8868848618437285,0.7865647581675694,4.311977521716209,0.8283508849280784
rf,0,42,0.67,18469,0.7814275910936194,0.8853856916069978,0.7839078229024018,4.327114368377711,0.8260571407014379
rf,0,42,0.68,18744,0.7820093067707169,0.8855828838489342,0.7842570441661949,4.321352370978392,0.8249655561293887
rf,0,42,0.69,19020,0.77832315680258,0.8841057642170739,0.7816430023218562,4.357735523161679,0.8381141360019508
rf,0,42,0.7,19296,0.781080779161176,0.8853631355465144,0.7838678817847555,4.330545954463679,0.82644365180481
rf,0,42,0.71,19571,0.7895876270957997,0.8903652818686816,0.7927503351570968,4.245573283774495,0.8152841461438602
rf,0,42,0.72,19847,0.7914582131526363,0.8921323841975707,0.7959001909340419,4.226659377679419,0.8061682237703699
rf,0,42,0.73,20122,0.789029551879783,0.8904404052017904,0.7928841152159286,4.251199807117241,0.8105662289274771
rf,0,42,0.74,20398,0.7911498596604465,0.8920998456902529,0.7958421346805731,4.229783029256774,0.8074912890981781
rf,0,42,0.75,20674,0.7938507920753683,0.8931098442487374,0.797645193894004,4.202343414100702,0.7958689693679072
rf,0,42,0.76,20949,0.7904776871223121,0.8917359549077845,0.7951930132752982,4.2365842218216825,0.7957460550484414
rf,0,42,0.77,21225,0.7863965653637762,0.8882945071552707,0.7890671314422253,4.277645794837738,0.8095523469355291
rf,0,42,0.78,21501,0.7943199224738715,0.8928259151176827,0.7971381147057276,4.197559088378886,0.7968968305810307
rf,0,42,0.79,21776,0.7914355458532688,0.8914909040446046,0.7947560319942665,4.226889078286696,0.7993861745504715
rf,0,42,0.8,22052,0.7871072119129601,0.8890371170058888,0.7903869954141425,4.270524123710044,0.8117596955141178
