insert_1_id_code,insert_1_ori_code,insert_2_id_code,insert_2_ori_code,insert_3_id_code,insert_3_ori_code,insert_4_id_code,insert_4_ori_code,insert_5_id_code,insert_5_ori_code,avg_Rep
0,0,0,0,0,0,0,0,5,1,0.0615887257976989
0,0,0,0,0,0,0,0,7,0,21.7934560809412
0,0,0,0,0,0,0,0,8,0,0.200360520029365
0,0,0,0,0,0,2,0,4,0,0.0166531449755589
0,0,0,0,0,0,3,1,5,0,0.0233049906440819
0,0,0,0,0,0,4,0,8,1,0.0529643655525379
0,0,0,0,0,0,4,1,0,0,0.0449026077507895
0,0,0,0,0,0,4,1,5,0,0.0150267175690024
0,0,0,0,0,0,7,1,5,0,0.188819093500167
0,0,0,0,0,0,8,1,5,0,0.0553977255438718
0,0,0,0,0,0,8,1,10,0,0.14339363789946
0,0,0,0,0,0,10,1,5,1,0.0344039015112986
0,0,0,0,1,0,10,1,9,0,0.0813647119287704
0,0,0,0,1,1,4,0,5,0,0.0369867621288467
0,0,0,0,1,1,4,0,8,1,0.0975822943503145
0,0,0,0,1,1,5,1,1,0,0.0099053654495296
0,0,0,0,1,1,5,1,10,0,0.102440136208647
0,0,0,0,1,1,9,1,4,0,0.0226500515136945
0,0,0,0,1,1,10,1,7,1,0.0452778487176543
0,0,0,0,2,0,4,0,3,0,0.0121142012754067
0,0,0,0,2,0,4,0,3,1,0.0504179199477293
0,0,0,0,2,0,4,1,10,0,0.0545892746593436
0,0,0,0,2,1,0,0,5,0,0.0401439058611182
0,0,0,0,2,1,3,0,5,0,0.32578018921698
0,0,0,0,2,1,3,1,5,1,0.0519474122513101
0,0,0,0,2,1,8,0,5,1,0.260624151373584
0,0,0,0,2,1,10,0,4,0,0.0222716295393984
0,0,0,0,2,1,10,1,5,0,0.0279709644346456
0,0,0,0,3,0,0,1,1,1,0.0063015863258368
0,0,0,0,3,0,4,0,7,0,8.8999095079227
0,0,0,0,3,0,5,0,4,0,0.0254249645727762
0,0,0,0,3,0,8,0,10,1,0.117244731409398
0,0,0,0,3,0,10,1,0,1,0.0344070168482547
0,0,0,0,3,1,0,0,5,0,0.0682058153134332
0,0,0,0,3,1,0,0,5,1,0.0534830466493522
0,0,0,0,3,1,0,1,4,1,0.015689772473225
0,0,0,0,3,1,4,0,10,1,0.188247207612187
0,0,0,0,3,1,4,1,8,1,0.104184425161751
0,0,0,0,3,1,5,1,10,1,0.0920898492791655
0,0,0,0,3,1,7,0,0,0,0.170446462646591
0,0,0,0,3,1,9,0,4,1,0.0389930374795065
0,0,0,0,3,1,10,1,0,0,0.0169167630605543
0,0,0,0,4,0,1,0,4,1,0.0479269824556261
0,0,0,0,4,0,2,0,3,0,0.0251501941054388
0,0,0,0,4,0,2,0,4,1,0.0156571275795052
0,0,0,0,4,0,2,0,8,0,0.0069695866869418
0,0,0,0,4,0,8,0,5,0,0.0192018372563476
0,0,0,0,4,0,8,1,2,0,0.0193012422043196
0,0,0,0,4,0,8,1,6,1,0.114652741715371
0,0,0,0,4,0,10,0,5,1,0.0464603649991607
0,0,0,0,4,0,10,1,4,1,0.13440678328846
0,0,0,0,4,0,10,1,6,0,0.0952212216915649
0,0,0,0,4,0,10,1,7,1,0.102345287112923
0,0,0,0,4,1,1,0,5,1,0.0110035265161232
0,0,0,0,4,1,1,0,7,1,0.312268760236401
0,0,0,0,4,1,5,1,2,0,0.0085276103911544
0,0,0,0,4,1,5,1,8,1,0.0249195194010623
0,0,0,0,4,1,6,0,0,1,0.0112827756253413
0,0,0,0,4,1,8,0,8,0,0.0860010693875217
0,0,0,0,4,1,8,1,10,1,0.184413881897156
0,0,0,0,5,0,0,0,10,1,0.0806523200245602
0,0,0,0,5,0,0,1,2,0,0.0380245405155303
0,0,0,0,5,0,0,1,8,0,0.0648234253300072
0,0,0,0,5,0,1,0,2,1,0.0231829501602816
0,0,0,0,5,0,2,1,5,1,0.0
0,0,0,0,5,0,3,1,5,0,0.0318237362305932
0,0,0,0,5,0,3,1,8,1,0.195368558982641
0,0,0,0,5,0,4,0,2,0,0.0174778703747607
0,0,0,0,5,0,7,1,4,0,0.275426316181538
0,0,0,0,5,0,8,0,5,0,0.0522479321412663
0,0,0,0,5,0,10,1,8,0,0.0232310553337451
0,0,0,0,5,1,0,0,1,0,0.085723295769913
0,0,0,0,5,1,0,0,2,1,0.04510824663405
0,0,0,0,5,1,0,1,10,1,0.0864686576620324
0,0,0,0,5,1,2,1,10,0,0.346408788037606
0,0,0,0,5,1,3,0,9,0,0.016154811185872
0,0,0,0,5,1,3,0,10,1,0.101050644077658
0,0,0,0,5,1,4,1,3,1,0.0302968969438646
0,0,0,0,5,1,7,0,10,0,0.444765745760611
0,0,0,0,5,1,10,0,5,1,0.0244155003938156
0,0,0,0,6,0,8,1,9,0,0.0726187299505446
0,0,0,0,6,1,0,1,4,0,0.0097740625371479
0,0,0,0,6,1,4,1,7,0,12.483966817862
0,0,0,0,6,1,8,1,0,0,0.368603500190912
0,0,0,0,7,0,0,0,2,0,0.191548536771016
0,0,0,0,7,0,6,1,8,1,2.66569458293226
0,0,0,0,7,0,10,1,1,1,0.0893607803132411
0,0,0,0,7,1,1,0,4,0,0.0542551791464357
0,0,0,0,7,1,4,1,7,0,39.4189653888176
0,0,0,0,7,1,6,0,0,0,0.190220855751708
0,0,0,0,8,0,0,0,9,1,0.0430458868879831
0,0,0,0,8,0,2,0,6,1,0.0394309004238779
0,0,0,0,8,0,2,0,9,1,0.0112800169924228
0,0,0,0,8,0,3,1,0,0,0.168966201206818
0,0,0,0,8,0,4,0,7,0,48.1774093180839
0,0,0,0,8,0,4,0,9,0,0.029497624732274
0,0,0,0,8,0,4,1,4,1,0.0215974809764842
0,0,0,0,8,0,4,1,7,0,32.8673992267364
0,0,0,0,8,0,8,0,7,0,60.4201774196545
0,0,0,0,8,0,10,1,4,1,0.0175154696375013
0,0,0,0,8,0,10,1,5,0,0.034506598416105
0,0,0,0,8,0,10,1,8,1,0.140405797396528
0,0,0,0,8,1,0,0,1,0,0.0511827680974323
0,0,0,0,8,1,0,0,10,1,0.0806456483880943
0,0,0,0,8,1,1,0,5,0,0.0577991411380593
0,0,0,0,8,1,2,1,5,1,0.0895604661117714
0,0,0,0,8,1,5,1,2,0,0.15641438647917
0,0,0,0,8,1,7,0,5,0,0.462902415461831
0,0,0,0,8,1,8,1,5,1,0.352712622115324
0,0,0,0,8,1,10,1,1,1,0.0323880191170601
0,0,0,0,9,0,3,1,5,1,0.037116327781271
0,0,0,0,9,1,0,0,4,0,0.01985411277756
0,0,0,0,9,1,7,1,3,0,0.951510989528933
0,0,0,0,9,1,8,0,5,1,0.102373975062318
0,0,0,0,9,1,9,1,10,1,0.0491554664202215
0,0,0,0,9,1,10,1,7,1,0.129542991658097
0,0,0,0,10,0,0,0,5,0,0.0363274754398835
0,0,0,0,10,0,0,0,9,1,0.0
0,0,0,0,10,0,0,1,10,1,0.0597314441604444
0,0,0,0,10,0,1,0,5,1,0.0195843471678901
